Task,CSV_Path,Status,Total,Positive(yes),Negative(no),Positive_Rate(%),Neg/Pos
ED_Hospitalization,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ED_Hospitalization.csv,ok,424930,202375,222555,47.625491,1.099716
ED_Inpatient_Mortality,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ED_Inpatient_Mortality.csv,ok,424930,4790,420140,1.127244,87.7119
ED_ICU_Tranfer_12hour,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ED_ICU_Tranfer_12hour.csv,ok,424930,26583,398347,6.255854,14.985028
ED_Reattendance_3day,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ED_Reattendance_3day.csv,ok,424930,15124,409806,3.559174,27.096403
ED_Critical_Outcomes,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ED_Critical_Outcomes.csv,ok,424930,28181,396749,6.631916,14.078599
Readmission_30day,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/Readmission_30day.csv,ok,321967,72030,249937,22.371858,3.469901
Readmission_60day,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/Readmission_60day.csv,ok,321967,95549,226418,29.676644,2.369653
Inpatient_Mortality,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/Inpatient_Mortality.csv,ok,545931,12166,533765,2.228487,43.8735
LengthOfStay_3day,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/LengthOfStay_3day.csv,ok,428329,255854,172475,59.733056,0.674115
LengthOfStay_7day,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/LengthOfStay_7day.csv,ok,428329,97748,330581,22.820776,3.381972
ICU_Mortality_1day,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ICU_Mortality_1day.csv,ok,94438,3882,90556,4.110633,23.327151
ICU_Mortality_2day,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ICU_Mortality_2day.csv,ok,94438,4814,89624,5.097524,18.617366
ICU_Mortality_3day,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ICU_Mortality_3day.csv,ok,94438,5631,88807,5.962642,15.771089
ICU_Mortality_7day,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ICU_Mortality_7day.csv,ok,94438,8261,86177,8.747538,10.431788
ICU_Mortality_14day,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ICU_Mortality_14day.csv,ok,94438,11196,83242,11.855397,7.434977
ICU_Stay_7day,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ICU_Stay_7day.csv,ok,94438,11169,83269,11.826807,7.455368
ICU_Stay_14day,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ICU_Stay_14day.csv,ok,94438,3896,90542,4.125458,23.239733
ICU_Readmission,/home/ma-user/sfs_turbo/sai6/zkwan/mimic-iv-3.1_tabular/task_index/all/ICU_Readmission.csv,ok,94438,9213,85225,9.755607,9.250516
